Elevation,Azimuth,0,1,2,3,4,5,6,7
16.54,6.93,1,4,2,0,3,4,2,0
14.43,-3.57,0,5,3,1,2,4,2,0
14.38,18.29,0,4,2,0,2,5,3,1
12.94,7.45,0,5,4,2,2,5,4,2
11.19,0.49,0,7,5,4,2,6,5,3
11.13,14.99,0,6,5,3,2,7,5,4
9.62,7.87,0,8,6,5,2,8,6,5
8.15,-4.41,0,8,7,6,1,7,6,5
7.53,19.08,0,8,7,6,2,9,8,7
5.99,8.34,0,10,9,8,2,10,9,8
4.54,-3.78,0,10,10,9,1,9,9,8
4.48,18.63,0,9,9,8,1,10,10,9
2.9,7.51,0,11,11,10,1,11,11,10
1.39,0.67,0,12,12,12,1,12,11,11
1.33,14.89,0,12,11,11,1,12,12,12
-1.09,6.77,0,13,13,13,0,13,13,13
-2.63,18.32,0,14,14,14,1,15,15,15
-3.25,-2.89,0,15,15,15,0,14,14,14
-5.64,7.42,0,15,16,17,0,15,16,17
-6.7,15.79,0,16,17,18,1,17,18,18
-6.8,-1.03,1,17,18,18,0,16,17,18
-8.94,6.46,1,17,19,20,0,17,19,20
-10.18,19.8,0,17,18,20,0,18,19,21
-10.85,-4.69,1,19,20,22,0,18,19,21
-12.59,7.08,1,20,21,23,0,20,21,23
-14.89,-4.09,1,21,23,25,0,20,22,24
-14.98,19.25,1,20,22,24,0,21,23,25
-16.74,7.67,1,22,24,26,0,22,24,26
-18.12,-1.82,2,23,25,28,0,22,25,27
-18.8,15.95,1,22,25,27,0,23,25,28
-19.91,6.74,2,24,26,29,0,24,26,29
-22.47,-5.34,2,25,28,31,0,24,27,30
-22.54,19.98,2,24,27,30,0,25,28,31
-24.42,7.41,2,26,29,32,0,26,29,32
-26.92,-0.08,2,27,31,34,0,27,30,33
-27.01,15.78,2,27,30,33,0,27,31,34
-29.25,8.11,2,28,32,35,0,28,32,35
-30.8,2.58,3,29,33,37,0,29,33,36
-31.61,12.5,2,29,33,36,0,29,33,37
-33.09,7.19,3,30,34,38,0,30,34,38
-36.51,3.05,3,31,36,40,0,31,35,40
-36.56,12.47,3,31,35,40,0,31,36,40
-38.79,8.03,3,32,37,41,0,32,37,41
-41.35,6.69,4,33,38,43,0,33,38,43
-42.4,12.97,3,33,38,43,0,34,38,43
-45.14,7.3,4,34,39,45,0,34,39,45
,,,,,,,,,
"zero is last antenna to fire, and delay indicates how many samples in the past the other antennas are added",,,,,,,,,